fulltext|chapter|year|month|location,0.0,0.0
october the team is really a splendid one both mares are in very good condition and well matched they pull tremendously we had one of them out the other day getting a load of logs for building and when the waggon got into a mud hole she pulled steadily and so strongly that the old horse in with her could not hold his own and was pulled back against the load and then the hooks came off the whiffle trees and she nearly turned a somersault we fixed up again and she pulled almost the whole load out by herself we have not worked the other one since we drove them to calgary she got hot then and going through a creek gave her a chill resulting in a slight attack of water farcy her hind leg swelling up to twice its right size she was very quiet while we bathed it as soon breaking them in as she found that it relieved her it is nearly right now and she is feeling in such good spirits that this morning she tried to have some fun with dick and got on her hind legs to pat him with her fore feet somehow he didn t see the joke we have been building a log stable and have got it about half done it will take about fifty logs to build it i shall be glad when it is done as it is rather hard on the horses having to stand out in the cold with no shelter we are not getting wages now but i don t think our time is wasted as we get our own and horses feed and we are breaking them as well as learning log building when the team is fairly broken we shall have a very fair chance of getting work at any rate for most of the winter we don t intend to regularly cultivate our ground in the way of raising crops for sale we should only plough and sow enough oats to feed our work horses poultry and pigs breaking them if 169 twenty to thirty acres would more than cover it our chief interest would be dairying and o poultry as there is a good sale for butter and eggs etc in calgary i don t think working out here would give us enough experience to pay for not having land of our own as all that people do here is to run cattle out on the prairie put up hay for food and grow oats i think we can learn better by treating our cattle according to good books than by foi 0 0 lowing the methods used here by the usual run of farmers which are reckless to an extreme and by which they lose great quantities of stock and render their horses almost unmanageable our team which we have only handled for about ten days is now a good deal gentler than the majority of old teams round here as to good land there is not any unoccupied nearer than twenty five miles from calgary we want to get land which we can stick to for ever and ever i don t see 170 breaking them in much good in getting your land into good shape and then selling it we don t look upon it as an investment but rather as a means of getting a permanent and independent livelihood and perhaps something more this country will be just the place for t as it is a sure cure for asthma|xi haying a buck jumper we buy a team breaking them in|1887|october|Alberta,0.05115511551155116,0.013201320132013201
october 30th we had a great fight with a prairie fire i had driven into calgary the day before on sunday morning i saw the fire an made out that it was about seventeen miles off and not far from home i started at once and driving back as fast as i could got here at 12 30 dick and h were just setting off we changed horses had something to eat and started the fire was then about a mile away and we reached the place at 1 15 about twenty men were already i 72 a fight with a prairie fire there we set to work beating with wet sacks and kept this up till io p m when a waggon came along with a supply of food and a raw hide the food was very welcome we had had nothing you will remember since mid day the hide was hitched with long ropes to two saddle horses and started one horse on each side of the line of fire the ropes being about twenty yards long so that the animals were out of the reach of the flames we had put a sack of earth on the hide to weigh it down and there were long ropes at the side with men holding them this was to guide it the rest of the fellows at work went behind with their sacks to put out any spots of fire left by the hide dick and i were among these and very fast we had to run most of the time for the horses were terribly scared by the flames and went at a great pace we had to keep up with them as well as we could for a spot of fire if left for a minute would a fight with a prairie fire 173 have spread and spoilt all the work of the hide this we kept up till 4 30 a m with not more than five minutes rest now and then when we had to stop and wet the hide altogether we went rather over thirty miles going round the fire and leaving off about five miles from home by that time every one was dead beat the horses as much as the men there were two teams and thirteen saddle horses at work and those that had dragged the hide in one little coulee or valley where the flames were ten or twelve feet high were singed all over when we got across after the hottest three minutes i ever had or wish to have every one s clothes were on fire dick had four large holes burnt in his breeches and one side of my shirt was burnt off the fire destroyed a few stacks but did no serious damage what would have happened had it been left no one can tell such a job i hope never to see again in the little coulee i spoke of it was 174 a fight with a prairie fire like a furnace every now and then the wind would come in a gust and then the fire would travel faster than a horse could go we got it out just in time for when we had just finished the wind began to blow very strongly and a small piece which we had not put out got up steam and rushed away east at a fearful pace it reached bow river which was six miles off in less than twenty minutes and burnt a streak as clear as if a road had been made there was another fire burning on the other side of the bow river this was not put out till a slight fall of snow came and finally settled it yesterday i drove into calgary in a go cart a sort of diminutive dog cart the horse a broncho had never been driven single before so i expected rather a lively time especially as the cart was a borrowed one and i had been warned not to drive fast over rough places for fear of its coming to the team turns out well 75 grief directly the broncho s head was loosed off he went as hard as he could tear over the rough prairie i thought something would break every moment but wonderful to say it held together we are very much pleased with our team they are real good pullers the other day we went to fetch logs from the bush we got four long green logs awfully heavy they are quite twenty four feet long also we had a shorter one measuring about eighteen feet as the waggon was coupled too short the weight was wholly thrown on the hind wheels over which the logs were just balancing well after we left the bush we came to a swamp and of course the hind wheels sank in up to the hubs and the waggon stopped we rested the mares about two minutes and then set off again they pulled till i thought the harness would go and the waggon slowly moved out of the swamp this was pretty good considering that they had brought the 176 the team turns out well load about nine miles already last night we had rather a misfortune something got into the stable and scared the horses so much that one of the mares slipped her colt it is a great pity as next spring it would have been worth 30 or 40 dick you will be pleased to hear is bread maker for the establishment at this very moment he is making the dough up into loaves for baking we are both first rate cooks now and can get up an awfully good feed out of bacon beans and flour with a little grease you would not know what was in the stuff and would only think how good it was by the way judging from your last letter you seem to have rather an exaggerated idea of the winter here seven months long you call it i think we are now in the middle of november and don t expect winter till after christmas though of course it may come any day but if it came at once it could not last the winter here 177 longer than four months probably it will only last for two ploughing always begins here in march when the frost is well out of the ground we do of course have cold snaps here and when it is cold it is cold and no mistake|xii a fight with a prairie fire the team turns out well the wintei winter here sport during the november on sunday week|1887|october|Alberta,0.03214285714285714,0.029464285714285714
november at last we have got a touch of winter there is snow on the ground two inches thick and that is as much as they ever have here and last night the thermometer went 7 o down to 18 below zero all yesterday it kept at about 50 below our cat was a little uncertain as to where she should locate herself the oven door happened to be open and as she sometimes sleeps there after sniffing around she got in but before ten seconds were gone she came out again in a pretty big hurry the oven was a little warm even for 50 below zero next she got on to the dresser which is close to the stove and tried first with one paw and then the 12 i78 the winter here other to see if the stove top was too hot apparently it was finally however she settled down on the plate in front of the stove and remained there for the rest of the day barring meal times this snap of cold has found us a little unprepared we have been adding a new room on to the hut and putting the logs on the roof has shaken down some of the plaster the wind gets in quite a bit however we hope to have everything done in a week s time to day i have been nailing down the floor while doing this i was interrupted by vi knocking with her foot against the water tub to let us know she wanted something to drink i suppose i had to get up and go out to her they belle and vi are wonderfully quiet and affectionate now yesterday they stood quite still while i was picking the snow and ice off their feet and fetlocks that means something i can tell you for the ice gets frozen on to the hair in large lumps and takes some pulling before it will come off j sport during the winter 179|xii a fight with a prairie fire the team turns out well the wintei winter here sport during the november on sunday week|1887|november|Alberta,0.03361344537815126,0.0392156862745098
november you said in your last letter that you thought our method of taming horses was a bit cruel well i guess it can t be helped you see when we get them they are quite wild there are other ways of course but they are far worse than the one we employed there is plenty of water here in the winter and plenty of sport too snipe in any quantity they are just like the english bird and are brutes to hit as they clear off at a terrible lick before you can get a sight of them but they are awfully good eating also we have deer wild cats gray wolf and last but not least the mountain lion they the mountain lions don t often come down our way now and then they make a raid on farms or ranches anything in the way of sheep calves or colts being very acceptable to them they will not however attack a man unless provoked or driven into a corner in the rockies and in british columbia there are plenty of them the only objection to the 12 2 i8o sport during the winter shooting here is that you have to wade about in a huge marsh with thewater up to your waist this takes something off the pleasure though you don t think so much about it if you are shooting for your larder we are very comfortable here now and like the life very much it is healthy and not too slow also there is money to be made if you stick at it and don t get into the habit of going into the town too much people seem to find it much harder out here to keep hold of money than to make it as far as we can see the best way to do that is to keep out of calgary as much as is possible|xii a fight with a prairie fire the team turns out well the wintei winter here sport during the november on sunday week|1887|november|Alberta,0.029069767441860465,0.03488372093023256
december i suppose this letter will reach you about christmas time so please give our love and best wishes all round i wish we were at home to help with the provisions as i guess you will miss us a bit in this respect but i know that the others will do their best to make up for us the weather here has be sport during the winter 181 come pretty cold now our team i m sorry to say are looking rather thin we cannot get any oats for them and hay alone is not good to work on in a few days however there will be oats in plenty to morrow we take them to the blacksmith i expect we shall have a fine time as they will be terribly frightened h s team will be worse than ours one of his horses is we think really crazy no matter how kind or gentle you are to him he will take the first opportunity to kick or strike you a few days ago he nearly caught me but i was a bit too quick for him and jumped into the manger just as his heels went whack against the logs|xii a fight with a prairie fire the team turns out well the wintei winter here sport during the november on sunday week|1887|december|Alberta,0.08928571428571429,0.03571428571428571
december we are having a regular north west winter 16 sometimes and then2 or30 above freezing several days ago we watched the thermometer in the morning at 8 a m it stood at 16 f two hours afterwards it went down to 30 we then started to the bush when nearly there i remarked to h on a peculiarity in the atmosphere ahead of us it looked just as it does when you see the heat rising out of the ground on a hot day half a minute afterwards down came a chinook on us feeling quite hot compared with the cold wind before herbert who was about 100 yards behind heard my yell but did not feel christmas the wind till about two minutes afterwards as it was travelling slowly though indeed it increased to a gale in about an hour s time we were not sorry to get it as we have had an unprecedentedly early and long spell of cold weather as we were going to the wood we shot a partridge and a wood grouse also a whisky john in winter plumage the latter has a body as big as a robin but larger limbs and tail i suppose when this letter reaches you you will be recovering slowly from the effects of christmas dissipations we i m afraid shall not have much to recover from our christmas feed will probably consist of salt pork boiled beans and a jam or treacle tart with bread possibly we|xiii a chinook christmas a christmas gift horse breeding caught by the cold a warm bed a gay christmas|1887|december|Alberta,0.026022304832713755,0.03717472118959108
may manage to shoot a chicken or two but they are getting awfully wild now and very hard to kill owing to their enormously thick plumage the chinook that i spoke of has brought splendidly fine weather while i am writing 184 christmas though it is freezing hard outside as the wind has shifted into a more northerly quarter two days ago we saddled belle and vi for the first time belle bucked a little over a waggon standing near but was soon quiet again vi however put her feet head and tail together in real earnest but she slipped and rolled over frightening herself so much that she became quite subdued we do not intend to use them as saddle horses at all but think it as well that they should be broken to it in case it might be necessary m has just told me of a good place ten or twelve miles out of calgary and we are going out to see it the first chance we get if it is as good as m says we ought to make quite as much as 500 a year out of putting up hay and selling it during the winter in calgary what we have to find out is if there is good water in the place and timber near at hand we shall have no difficulty in borrowing as it would be as safe an invest a christmas gift 185 ment as any out here however if there is any difficulty at all about it i guess we can make a start without it next year if we rustle hard enough what is in favour of borrowing though is that if a man starts with a little capital in this country he can go ahead three times as fast as one who has to rustle his start through the extreme kindness of a relative the sum of 200 was presented to the two boys in order to assist them in starting for themselves the news reached them on christmas eve|xiii a chinook christmas a christmas gift horse breeding caught by the cold a warm bed a gay christmas|1887|may|Alberta,0.041666666666666664,0.03888888888888889
december we have written to x the news of his kindness in starting us free is the best possible christmas gift you could have sent us you can t think what a lot of anxiety it has taken from us this gives us the sure chance of getting really good land work i86 ho rse b reeding and makes us independent to a great extent of outside work the winter is getting on most satisfactorily to day the temperature was above freezing and there was a clear sky and plenty of sunshine we shall stay in this locality now and take land north of calgary though all the land for some seventy or eighty miles has been taken to the south of calgary very little of that to the north has been touched the reason is the difficulty of crossing the bow river when bringing stock or produce to calgary this winter however a bridge is being built and will be opened in a few weeks then of course there will be a rush for the best land and we being on the spot will get a pull over the rest i guess we shall devote ourselves chiefly to horse breeding at present in time we shall get to selling grain and hay horse breeding how ever strikes us as the thing to pay most both now and in the future garden fruit we shall ho rse breeding have of course but this is rather uncertain owing to the small fall of snow here indeed all kinds of crops here are rather uncertain owing to the summer frosts we are fairly well satisfied with the winter there have been some pretty cold snaps 270 below zero was the worst but mild weather has been decidedly in the preponderance in this country horses are turned out during the winters just like cattle and after the hardest winters have appeared robust and even fat little colts and all horse breeding will not be such a risky business as it may seem we have not had very much experience it is true but ever since we have been out here we have had more or less to do with them again in this climate they are subject to very few diseases we shall also keep a few cows and poultry our work will be something of this sort herding horses morning and evening branding them in the spring and fall putting up hay for the riding and working horses i88 horse breeding during the winter harvesting a crop of oats for our own use putting up fences and stables in addition to this after three years time there would be buying and selling to be done and shipping the animals off to ontario or manitoba which are the chief markets of course we shall have to work pretty hard at first putting up our log hut and some corrals etc but we shall not mind that why doesn t m come out if the idea that he will be of no use prevents him let him forthwith dispel it from his mind we would soon teach him what real work was and make him think himself the hardest worked brute in creation at first of course we would let him off lightly as a greenhorn and a tenderfoot|xiii a chinook christmas a christmas gift horse breeding caught by the cold a warm bed a gay christmas|1887|december|Alberta,0.04712041884816754,0.02617801047120419
january 1888 we have been having a week of real winter it would not have mattered if we had been ready for it but the shack is not properly plastered there is no hay for the horses as caught by the cold 189 the stacks are a mile and a quarter off and the supply of firewood and food is rather low the spirit in the thermometer has not been within shouting range of zero since monday week excepting on one day and then we all rushed off to the bush ten miles away to get more firewood the snow is so deep now that horses can hardly draw a waggon and sleighs are rare round here yesterday we borrowed a sort of sleigh known as a jumper it is very low and you sit just behind your team s heels well we started in this thing to calgary to get some food when we were three miles on the way we had to stop and get thawed out at a house as the snow thrown up by the horses hoofs had frozen on our faces and made it impossible to see finally we had to turn round and come home then i saddled a horse and rode over to a neighbour s and borrowed enough food to keep us going till we can get some from calgary i forgot to say that just as we got home the 190 caught by the cold pole came out of the jumper and the team went on leaving us sprawling in the snow tell cook that i ve got a new dodge for bread making instead of yeast i think it is the same plan as that used in palestine by the old jews the last time dough was made for bread i took a small piece of it and put it aside to get sour to day in making bread i am using this sour piece of dough instead of yeast for we have none of that left the bread is not made yet but is doing very well so far|xiii a chinook christmas a christmas gift horse breeding caught by the cold a warm bed a gay christmas|1888|january|Alberta,0.02717391304347826,0.029891304347826088
january i suppose that christmas gaieties have not allowed you much time for writing at least that is the way we account for absence of mail last thursday dick and i walked three miles to the post office and back again through snow which was knee deep when we got there the only thing for us was a small circular from some bookseller in calgary we felt like going on to caught by the cold 191 interview him at first but afterwards thought better of it the day before yesterday we went with our team to get firewood and had an awful time of it coming home the snow was drifted three or four feet in lots of places and very often the horses were up to their bodies in snow even where there were no drifts the trail was awfully heavy we had ten miles of this and in order to lighten the horses work walked all the way back and most of the way there and this in a deep snow with a crust not quite hard enough to bear your weight and yet which held your feet at every step we had got nearly home half way up the last hill when the horses gave out and tried to make little rushes t get on not pulling steadily together for a long time we had to stop and let them get their strength again certainly they had done splendidly there is some talk of dick and myself o 192 a warm bed going to the bush to camp out and cut rails for two or three weeks it seems a tempting prospect living in a tent with the thermometer often going down to 20 and 30 f however a tent is very easily warmed only it gets very cold when the stove is out still if we go we shall have lots of bedding i will tell you how much to see if you think i it enough first a tick filled with hay on top of this one half of a double blanket then ourselves then the second half of the double blanket and on top the two big white blankets and the two blue ones we brought out with us then the two heavy ulsters the two waterproof sheets the two white waterproofs and the pea jackets indeed a man needs a steam crane to lift the bedclothes in order to get up but once in you do not find it a bit too much the waterproofs go half under and half over the bed and keep draughts from getting between the blankets you talk about fancy dress balls and dinners a gay christmas l93 etc and then say the christmas has not been so gay as usual why to us poor devils living in daily fear of losing some portion of our flesh from frostbite with one long round of bacon and beans it sounds like a paradise we are considered quite old stagers here as people know we have been both in ontario and british columbia and don t know quite how long either so we can talk of greenhorns 13|xiii a chinook christmas a christmas gift horse breeding caught by the cold a warm bed a gay christmas|1888|january|Alberta,0.023809523809523808,0.027472527472527472
february you must excuse the long interval between this letter and our last as we have been camping out in the bush for seventeen days cutting posts and rails by the way you need be under very little anxiety about the blizzards you hear of in the n w states hurting us we have them much modified only two or three people were frozen to death in alberta this last one when it came on we were two and a half miles from home with belle and vi and a slight sleigh it was awfully sudden and we could not see ten yards in front out in the bush 9s of us and felt nearly suffocated by the wind but belle and vi knew what was wanted when we turned their heads home and all we had to do was to hold on while they really tore home straight across the prairie in what i think must have been a bee line for the shack as we were home in less than no time our thermometer did not go below 22 to 17 f until the wind had subsided when it went down to 300 f we had rather a nice time in the bush as we were really warm there being no wind among the trees we worked all day in our shirt sleeves there were only three cold nights in one of which the thermometer went down to 2 50 f that was our last night there three days before we caught an awfully pretty little brown owl about four inches long and his head larger than all the rest of his body he was splendid at keeping the mice out of the tent he was frozen to death on that last night which was a great 13 2 out in the bush pity as he was very tame and would eat from the hand there were no animals to be seen except birds though we saw lots of wolf trail and heard them howling and yelling all round at night they woke us up one night when they were killing a cow about a quarter of a mile off the noise they made then was tremendous we saw one bear black trail and followed for two miles with our guns but it got so dark we had to give it up next day the trail was covered with snow by the way the wolves in the bush are called timber jacks and are larger and fiercer than the coyote or prairie wolves they all have splendid furs on now i wish i could get some during the last week in the bush snowstorms prevented any supplies reaching us and for the last three days we had beef straight with a little baking powder and treacle to eat with it and the beef would beef j straight means beef and nothing else another team 197 not have held out for more than two more meals you say in your last letter that g recommends hiding from a blizzard in the snow as far as i have seen in this country one could only follow the ostrich s example and hide one s head and leave the rest to luck not much use in a blizzard i think i said we might be getting some more bronchos any time as now is the best time to break them we saw three yesterday and have arranged to get them if the owner will sell at our price 240 48 for the three|xiv blizzard out in the bush another team driving downhill we take up land preparing it for habitation we all try to get drowned|1888|february|Alberta,0.022764227642276424,0.032520325203252036
february the day before yesterday i rode over to s creek i was to join another fellow there and together we were going to ride up the creek and spy out the land he never turned up so i slept at a shack there and came back next morning i saw one section of land which i thought would have suited us but it was not possible to examine it properly as the weather was so 198 another team bad i suppose you have heard by this time that we have bought three new mares wild bronchos they are getting quite gentle now though two of them are still very nervous one three year old especially the other day we hitched one into the waggon with vi she ran quite a bit and dick says that he had for about ten minutes the roughest ride he has ever experienced we also got a little cayeuse or indian pony to do our rough riding till the others are better able to stand it it was on him that i rode over to s creek when i started i left dick laughing at me he said i was quite as big as the pony and ought to take my turn at carrying we are having glorious weather now the snow is nearly all gone it freezes about 200 at night but thaws during the day in fact the winter seems to have quite broken up last night however there was a snowstorm and the temperature stood at driving downhill 199 20 the roads as you may imagine are in a pretty bad condition in driving to calgary to day i came across a cutting where there was about six feet of water and slush consequently i had to go down a place which was something very like perpendicular i give a small plan of the incline which is no exaggeration at all belle and vi had to stiffen all four legs and slide for about twelve feet to get down without upsetting i had to brace my feet against the front pf the box and lean back with all my might holding on to the reins in order to keep them up happily the snow was pretty deep so it was not so slippery as it might have been 200 we take up land|xiv blizzard out in the bush another team driving downhill we take up land preparing it for habitation we all try to get drowned|1888|february|Alberta,0.03132530120481928,0.02891566265060241
march we should have written last week but we were both so awfully busy that we had not timie and i did not feel up to writing last night to catch this morning s mail as i had just come in from a forty mile ride and was a bit tired we have taken up land here about twenty two miles from calgary and in a fairly well settled district we have each homesteaded 160 acres and each pre empted 160 acres making in all 640 acres it is a nice little valley well sheltered on all sides and with lots of natural hay on it and within easy reach of timber it is about a quarter of a mile from sheep creek a good sized stream which boasts of splendid trout fishing we shall also buy eighty acres of canadian pacific railway land that is adjoining it in order to get possession of certain springs which are open all the year round we shall be allowed ten years to pay for it so it will be all right not more than j 8 a year it is almost necessary to we take up land 201 buy this eighty acres if not absolutely as the land we have taken cup would decrease in value if we did not as there is not water on it through the winter if we did not take this section we should have to go much further off or take up an inferior one belle had her first long ride yesterday about forty miles and came through the ordeal very well indeed though she was a bit tired in the evening i went to her and found her lying down i sat on her shoulder and patted her she was not a bit frightened most horses won t stand anyone near them when they are lying down we bought a stallion last saturday for 225 45 it was a very good bargain and a chance not often got or we should not have bought it it took down our cash account quite a bit but as we shall be working out all the summer it will be no inconvenience and we have no debts it will save us its own value in two years besides the work it does and it is a 202 preparing it for habitation splendid team horse and wonderfully gentle we shall camp out in a tent on our land next week i think and put up a log house and do a little fencing and ploughing then we shall work out till the winter except for three weeks to put up our own hay herbert is at c ranche about eighteen miles west of calgary buying another mare we shall sell our saddle pony and one of our saddles to help pay for her you thought in your last letter that going in for horses would bring us into connection with a low set but here it is quite different two thirds of the ranchers go in for cattle and it is impossible to draw a distinction between cattle dealers and horse dealers regarding their characters from what i have seen the proportion of gentlemen among horse raisers is quite as great as among cattlemen and farmers our experience of them is that they are very decent fellows and quite straight and bearing excellent characters through the preparing it for habitation 203 country in fact the horse dealers are quite a different sort of people here to some that are to be found in england though there are black sheep here as well as anywhere else we were at an auction the other day and bought a mower rake and stove and two or three other things very cheap which saved us quite a bit among other things we picked up a turning lathe very cheap it will come in handy in winter evenings our money is invested as safely as it could be and as we mean to do a lot of work this summer we hope to show you a model ranche when you come to see us we send you the temperature fahrenheit for january to give you an idea of our worst month a m a m p m january 1st 1 160 10 26 10 30 2nd 8 15 10 30 3rd 10 90 10 9 4th 11 100 lowest at night 180 5th 8 17 25 6th 9 200 8 7th 9 6 l6 204 preparing it for habitation jan a m uary 8th 9 8 lowest at night 12 o o 28 gale of wind 9th m 10th 10 1 ith 10 12th 13th 14th thermometer out of order 15th 16th 17th 18th 19th 20th 2ist 22nd 23rd 24th 25th 26th 27th 28th 29th 30th 3ist p m io o 24 4 o 24 io 0 io 110 io 0 20 io 22 8 o 25 8 12 8 o 20 8 189 8 0 0 8 22 8 8 8 8 8 33 34 34 0 34 34 lowest at night 250 i 29 o i 12 260 260 i5 12 i8 i 18 i 1 18 18 180 180 o m b era s creek|xiv blizzard out in the bush another team driving downhill we take up land preparing it for habitation we all try to get drowned|1888|march|Alberta,0.03455964325529543,0.023411371237458192
april you will see by the heading of my letter that we have changed camps we are now living with a fellow whose land adjoins our own and are working tremendously hard hauling logs to build our house and preparing it for habitation 205 rails to fence with the house of course will take some time after we have done that we shall turn to the fencing we shall want about a mile and a half of that as soon as the frost goes we shall break thirty acres as we want to get a crop next spring we shall have a few potatoes and vegetables in this spring a man who lives near here told me the other day that once when he was fishing in the creek he pulled out about eighty pounds of trout this may be a little tall but still it shows that the stream is a pretty good one he said also that none of the fish weighed under a pound last sunday i had a small adventure with a horse in the pasture here i was trying to catch him well i got the lasso round his neck but he got a start on me and as the ground was very slippery and i was on foot i could not stop him so he pulled me over i thought that if i hung on to the rope a bit 206 preparing it for habitation perhaps he would stop but i guess he didn t the further he went the faster he went and after doing ten miles an hour over hard rough frozen ground for the distance of some two hundred yards i decided to let go i got rather bumped and am stiff now from it dick then went to the stable to saddle bull the stallion and run the horse in he had broken out of the pasture and when he arrived at the stable a quarter of a mile from the hut there was our friend standing with belle and vi you talk about the difficulty of getting a good house in england now here we have to be thankful if we can t crawl in and out through the walls in our last residence we could see through them on all sides however we have determined that ours shall be a model house i hope the determination will last|xiv blizzard out in the bush another team driving downhill we take up land preparing it for habitation we all try to get drowned|1888|april|Alberta,0.03546099290780142,0.018912529550827423
may we have been hard at it all this preparing it for habitation 207 month hauling logs and lumber for the house three or four days ago we had just started home with a load from the bush where we had been at work when we got into a morass the wheels of the waggon sank in as far as the axles i had just time to get one of the horses on to firm ground but belle sank till she looked as if she were lying on the ground 0 0 we unharnessed her got her out and started again having thrown off half the load we hadn t gone half a dozen yards when she got in again deeper than ever she pulled till she was so embedded that she could only move her head we were pretty near two hours before we managed to get her out she did exactly what we told her in the way of lying still and jumping or rather trying to jump at one time i thought we should have had to pull her out with the logging chain and the other horse we did not get home that night and had to put up at a friend s house ten miles off 208 we all try to get drowned when there is not a heavy load on the waggons we ride on the coupling between front and hind wheels of course when we cross s creek the water comes over this and as there is no higher place to go to we have to grin and bear it the water is snow water from the mountains and as you ll guess not remarkable for its warmth yesterday we went to calgary when about seventeen miles off we saw a rainstorm coming down from the mountains so we raced it belle and vi did the distance without a stop and hardly seemed at all tired we arrived ten minutes before the storm we got back from calgary to day all safe in spite of mud holes and swollen creeks but we nearly all came to grief at f creek owing to false information two men whom we met told us that it was not too deep to cross with a load when we got to the bank it looked to me too deep but as they had just crossed we determined to go we all try to get drowned 209 by what they said we hadn t gone three yards when i saw what was up still it was no use turning back then a few yards more and the horses were out of their depth and the stream began to take horses wao gon and all along with it belle and vi however did not see the fun of this and did their best to struggle across fortunately they got foothold on some shingle we then waited till the stream slewed the waggon round on od to the same bed and then unhitched them and got them to the other side the next business was to unload the waggon as quick as we could for the water was rising fast we did all we had time for and then hitched the two mares on to the end of the waggon pole they pulled it out and about nine hundredweight of lumber with it had this happened fifteen feet lower down there would have been little chance of saving either waggon or horses as the banks are four or five feet high and perpendicular and there is a good 14 zio we all try to get drowned fifteen feet of water the waggon too was pretty heavy having got thirty three hundredweight on board by the way you asked for a description of dick he is a little taller than when we came out and very much broader his face is the colour of a mahogany sideboard l and i think if he were to appear in b in his usual costume there would be a general stampede out of the town p s mab has got a little colt which does nothing else but run races all day with its own shadow|xiv blizzard out in the bush another team driving downhill we take up land preparing it for habitation we all try to get drowned|1888|may|Alberta,0.015193370165745856,0.027624309392265192
may having finished chinking and plastering we are at last installed in our new house and are very comfortable it is twenty four feet by twenty inside which is considered big in this country and indeed it seems so to us after having lived for some time in a house twelve by fourteen there is a sod roof on and we are going to put lumber over it though as yet the rain has not come through there are two windows and we shall make another as soon as we have time our cellar is six feet square there is a timber partition up the middle of the house in one half we have the stove and cook in the other we sleep 14 2 212 our house sit read etc there is going to be a veranda in front when we have time we have ploughed a fire break round the place and a corral to one side of it to keep the colts in while we are breaking in their mothers there is also a snubbing post close to the house that is a post fixed into the ground very tight used for tying wild horses to while putting on the saddle or harness during the breaking in our water comes from a hole we dug in the coulee a few yards in front of the house in the room we sleep in there is a table in one corner a double bed in the one next to it in the third corner the big trunk known generally as the woolwich infant and in the last a lot of sacks of oats for the horses we sit at present on our two gun cases placed across two kegs of nails in the kitchen there is a stove at one end with the cooking things hung up behind it a pile of oats heaped up in one corner saddles harness and bridles in the other work and play 213 we have broken in queenie to the saddle when we first put the saddle on her she bucked tremendously but quieted down afterwards the next day she bucked even worse than before and when i got on her the first thing i knew was that i had lost my stirrups which were much too long for me and i 0 slipped on one side one leg over the saddle and one under her body it was awfully hard work to hang on while she bucked i clung 0 0 with one hand to a strap round the horn of the saddle and i guess it skinned my knuckles just a bit until to day she used often to run away with us going round in a circle so small that it seemed possible to touch the centre of it we did not buy the canadian pacific railway land after all they asked too much and we found water on our own place there is a clump of timber on one corner of our section and we can get all we want beyond within a few miles by paying 50 for a 214 work and play timber permit timber land costs 5 an acre besides the surveying fees our house faces south west and we get a glorious view of the rockies which we can see through the window when lying in bed we are trying now to get a contract for putting up hay for some of the people round here i think we shall manage it|xv our house work and play doing a hay contract rest after toil a misfortune|1888|may|Alberta,0.0066555740432612314,0.016638935108153077
june we are just finishing railing in our pasture land for the last week dick has stayed all day in the bush cutting and piling rails while i hauled them down to our place we landed four loads a day that is about 200 rails and took about two hours and a half to each load so you can guess that we have had good busy days towards the end of the week belle and vi thought that they had had about enough of it and became rather bad tempered they didn t show it to me but would bite and kick one another this summer we intend to break in a new work and play 215 team mab and dolly enlarge our pasture land to 180 acres and put up about thirty tons of hay for our own use then we want to get a contract for hay at the s creek ranche i went to see the manager and made him an offer he will let me know in a day or two whether he takes it or no i rode over to see him on queenie when we got to the river two dogs began to jump about and bark on the other side so my lady insisted on walking down the river till i was just wet through and madder than anything with her on the whole though she behaves very well considering that she has only just been broken to the saddle everything round here is looking beautiful just now the birds are present in flocks we have had no time for fishing yet though the river is not 500 yards from us our room looks quite jolly now we have put up some bookshelves and the photos also our bats rackets and guns the round 2l6 work and play log walls show the things off very well dick has been trying unsuccessfully to sketch the house lately but he makes it look rather like a pigsty so i won t send any of his attempts just yet|xv our house work and play doing a hay contract rest after toil a misfortune|1888|june|Alberta,0.028011204481792718,0.022408963585434174
